n_nodes,influence,communities,nodes
68.0,723.0,0.03552106024215296,"[3712, 2, 4355, 4356, 517, 773, 7, 1287, 4233, 902, 5515, 775, 1421, 1146, 255, 1425, 915, 1687, 408, 538, 410, 1052, 286, 30, 31, 1183, 796, 934, 1067, 1709, 3885, 942, 1457, 690, 2993, 439, 2489, 699, 59, 5181, 190, 959, 1853, 958, 322, 1734, 5191, 1350, 2374, 2634, 2377, 469, 220, 2013, 1117, 734, 3934, 990, 483, 229, 230, 1510, 105, 2665, 877, 6129, 1018, 1535]"
87.0,803.53,0.12290295572423893,"[2, 517, 7, 538, 1052, 29, 30, 1067, 59, 5181, 5191, 2634, 1117, 105, 2665, 1146, 3712, 4225, 5760, 4233, 1687, 666, 1183, 160, 1195, 1709, 2735, 1200, 690, 699, 190, 1221, 1734, 207, 220, 733, 229, 747, 1277, 255, 4355, 4356, 773, 1287, 775, 1289, 1806, 796, 286, 2856, 3885, 1853, 322, 2374, 2377, 1362, 350, 877, 886, 1405, 902, 5515, 1421, 1425, 915, 408, 410, 934, 428, 942, 1457, 2993, 439, 2489, 955, 958, 959, 962, 469, 2013, 990, 483, 1011, 502, 1018, 4606, 1535]"
16.0,300.92,0.08410361204173711,"[3712, 4225, 2564, 517, 2374, 7, 775, 1052, 31, 54, 30, 2090, 408, 699, 5465, 286]"
97.0,835.6,0.04230967624668236,"[2, 4356, 517, 902, 7, 1421, 775, 144, 30, 31, 408, 1067, 1072, 2374, 59, 5181, 1089, 5191, 2634, 1117, 2665, 105, 1146, 3712, 4225, 6797, 656, 145, 1687, 666, 1183, 160, 1709, 2735, 1200, 690, 699, 1221, 207, 720, 220, 734, 6366, 230, 1269, 1274, 255, 768, 773, 816, 1806, 796, 286, 3885, 1853, 2370, 322, 1350, 2377, 331, 1362, 350, 3934, 877, 1404, 5515, 1425, 915, 3988, 410, 934, 430, 942, 2993, 1457, 439, 1463, 2489, 955, 958, 959, 962, 469, 1498, 2013, 990, 482, 483, 1510, 6129, 1011, 502, 1527, 2550, 1018, 508, 1535]"
91.0,823.63,0.13558803894244909,"[2, 2564, 517, 7, 538, 1052, 30, 1065, 1067, 1535, 1072, 59, 5181, 1089, 5191, 2634, 1117, 2665, 105, 1643, 3192, 1146, 3712, 4225, 1163, 656, 145, 1687, 666, 1183, 160, 1195, 1709, 2735, 1200, 690, 699, 190, 1221, 207, 220, 229, 747, 1277, 255, 4355, 4356, 773, 775, 1289, 1806, 796, 286, 3885, 1853, 322, 2374, 2377, 1362, 350, 877, 886, 1405, 902, 1421, 1425, 408, 410, 934, 428, 942, 2993, 955, 958, 959, 962, 469, 2013, 990, 483, 1510, 6129, 1011, 502, 1527, 2550, 1018, 508, 4606, 511, 3003]"
45.99999999999999,601.43,0.16188252742129705,"[3712, 4225, 2, 4355, 4356, 517, 773, 7, 1287, 4233, 902, 5515, 775, 1421, 511, 915, 1687, 408, 410, 538, 1052, 29, 30, 796, 1183, 286, 699, 5181, 1853, 1089, 2374, 5191, 2377, 1117, 350, 2013, 483, 1510, 2665, 105, 1643, 747, 3192, 1146, 4606, 255]"
7.000000000000005,202.75,0.5006014828550854,"[3712, 4225, 1183, 4356, 408, 699, 2013]"
66.99999999999999,712.51,0.041907585117387125,"[3712, 4225, 2564, 517, 2374, 7, 775, 58, 286, 1082, 2013, 796, 1084, 1018, 1643, 31, 699, 408, 6797, 30, 1052, 5181, 5191, 2634, 59, 656, 160, 2735, 1200, 220, 1117, 350, 2665, 105, 1277, 4355, 1183, 1146, 1709, 190, 734, 229, 706, 747, 902, 773, 690, 144, 1687, 1421, 915, 3885, 942, 1457, 2993, 439, 958, 1853, 877, 322, 1350, 3934, 2377, 1362, 469, 483, 1510]"
76.0,740.01,0.014594426437274821,"[3712, 4225, 2, 4355, 4356, 517, 773, 7, 1287, 4233, 902, 5515, 775, 1421, 1425, 915, 1687, 408, 410, 538, 1052, 29, 30, 1183, 796, 286, 934, 1067, 1709, 942, 3885, 1457, 690, 2993, 439, 2489, 58, 59, 699, 5181, 190, 959, 1853, 958, 322, 1084, 1470, 196, 1734, 1350, 5191, 2374, 2634, 2377, 1221, 1995, 1362, 469, 220, 2013, 734, 3934, 990, 733, 483, 229, 230, 1510, 1643, 747, 877, 5870, 1018, 1404, 255, 2146]"
71.0,734.15,0.043313993395539874,"[3712, 4225, 2, 2564, 517, 773, 7, 4356, 4233, 902, 775, 1287, 5515, 1421, 915, 1687, 408, 538, 1052, 1425, 30, 1183, 796, 410, 934, 31, 1067, 1709, 942, 286, 3885, 1457, 690, 469, 439, 2489, 699, 59, 5181, 1853, 190, 959, 958, 322, 2374, 5191, 1734, 2377, 1350, 2634, 220, 2013, 734, 3934, 990, 483, 666, 1510, 230, 877, 6129, 1018, 1535, 1117, 105, 2665, 1011, 502, 1146, 4606, 255]"
